Date,Title,Attendees,URL,Source,GPX,Start,End,Distance
2022-12-18,Bramfield Woods Christmas walk & social (12 miles),48.0,290110486,Free,gpx\06\_Bramfield_via_Hertford_North__time-corrected.gpx,Hertford North,Hertford North,21064
2022-12-10,Christmas party walk (12 miles),70.0,289965624,Free,gpx\02\8232443388.gpx,Three Bridges,Three Bridges,20908
2022-12-03,A Miller's Christmas Fayre (15 or 12 miles),100.0,289885409,Free,gpx\01\8202560287.gpx,Sandy,Biggleswade,19237
2022-11-27,A jolly round Stratton's Folly (12 or 16 miles),17.0,289982736,Free,gpx\02\8177525822new.gpx,Bayford,Hertford North,26781
2022-11-19,Box Hill the Epsom Wells Way (14 miles),120.0,289498675,Free,gpx\01\8140405310.gpx,Box Hill & Westhumble,Epsom,20717
2022-11-12,To the Poet (15 miles),109.0,289336327,Free,gpx\01\8107907841.gpx,Tonbridge,Tunbridge Wells,23999
2022-11-05,"Vaalserberg, Ardennes (23 miles)",33.0,288026032,Free,gpx\02\8073100792.gpx,Maastricht,Aachen,43484
2022-10-29,Nature near London - Autumn Colours (14 miles),133.0,289184384,Free,gpx\01\8037819061.gpx,Shalford (Surrey),Horsley,23178
2022-10-22,Longitude by the Sea (15 miles),96.0,289067216,Free,gpx\01\8003162719.gpx,Moulsecoomb,Brighton,28211
2022-10-15,The Miller & the Brook (14 miles),81.0,288944540,Free,gpx\01\7967489579.gpx,Huntingdon,Huntingdon,25810
2022-10-09,Offa's Place & a windmill hill (14 miles),82.0,288791776,Free,gpx\01\7937176998.gpx,Hitchin,Hitchin,22755
2022-10-02,The Chiltern valiant trooper walk (13 miles +1),104.0,288620422,Free,gpx\01\7900737696.gpx,Tring,Berkhamsted,20121
2022-09-24,Harbour Heights - Firle Beacon & Newhaven (12-15 miles),75.0,288452868,Free,gpx\06\_Harbour_heights_Firle_beacon_Newhaven_time-corrected.gpx,Lewes,Newhaven Harbour,22260
2022-09-17,Nature near London - Great Wood & Wildwoods (16.5 miles),106.0,288354335,Free,gpx\09\Crews_Hill_Round_Walk_time-corrected.gpx,Crews Hill,Crews Hill,28065
2022-09-10,Brightling Down - The way through the Woods (15 miles),101.0,288052865,Free,gpx\01\7786321917.gpx,Stonegate,Robertsbridge,22120
2022-09-03,Roman Woods - Travels in an Antique Land (14 miles +1),111.0,287862702,Free,gpx\01\7748590405.gpx,Horsham,Horsham,23795
2022-08-27,Secret Beach (15 miles),104.0,287741993,Free,gpx\01\7710054248.gpx,Great Bentley,Clacton-on-Sea,24028
2022-08-13,Nature near London - Ditchling Beacon (14 miles),73.0,287546828,Free,gpx\02\7631945590.gpx,Burgess Hill,Burgess Hill,19825
2022-07-30,"The Heart of Nature, Hogtrough Hill (14 miles)",102.0,287306236,Free,gpx\02\7554905513.gpx,Hurst Green,Woldingham,24040
2022-07-23,Colley Hill the Lavender Way (15 miles),140.0,286961833,Free,gpx\01\7516527249.gpx,Tadworth,Belmont,20394
2022-07-16,Deer by the River (12 miles),131.0,286962994,Free,gpx\02\7479793664new.gpx,Fulwell,Kew Bridge,18870
2022-07-09,Coleshill in the Chilterns (12 or 15 miles),71.0,286738905,Free,gpx\09\Seer_Green_to_Beaconsfield_time-corrected.gpx,Seer Green,Beaconsfield,22500
2022-07-02,A Walk to the Sea (15 or 17 miles) - Hassocks to Brighton,127.0,286636081,Free,gpx\02\7404064200.gpx,Hassocks,Brighton,26794
2022-06-26,Down on the Farm (14 miles),29.0,286771699,Free,gpx\02\7372545795.gpx,Sawbridgeworth,Stansted Airport,21566
2022-06-18,"Leith Hill - the highest point, because it's there :) 16 miles",57.0,286380201,Free,gpx\02\7329609773.gpx,Box Hill & Westhumble,Box Hill & Westhumble,25368
2022-06-11,One Tree Hill (14 miles),123.0,286223204,Free,gpx\01\7292019971.gpx,Sevenoaks,Sevenoaks,24278
2022-06-04,Birling Gap & Beachey Head - (19 miles),74.0,286007268,Free,gpx\09\Berwick_to_Eastbourne_station_time-corrected.gpx,Berwick (Sussex),Eastbourne,31208
2022-05-28,Walking in search of a Dragon-Slayer (16.5 miles),88.0,285838784,Free,gpx\01\7217285369.gpx,Elsenham,Newport (Essex),27744
2022-05-21,Windsor Forest (15 miles),162.0,285723559,Free,gpx\01\7179890436.gpx,Windsor & Eton Central,Windsor & Eton Central,25368
2022-05-14,Offham Hill & the Mise of Lewes (15 miles),54.0,285632362,Free,gpx\01\7142216868.gpx,Wivelsfield,Lewes,26111
2022-05-07,Dymchurch (15 miles),119.0,285486454,Free,gpx\02\7104076057new.gpx,Folkestone West,Westenhanger,26905
2022-04-30,Pulpit Hill (14 miles),105.0,285248006,Free,gpx\03\30-04-2022.gpx,Great Missenden,Great Missenden,21228
2022-04-23,Wealdway - Buxted to Berwick (19 miles),48.0,285130723,Free,gpx\02\7029597977.gpx,Buxted,Berwick (Sussex),33907
2022-04-09,Mount Harry (14 miles),69.0,284899194,Free,gpx\01\6955381271.gpx,Burgess Hill,Burgess Hill,25293
2022-04-03,Holland Park to Tate Britain walk (5 miles),67.0,284912833,Free,gpx\02\6926740396newnew.gpx,Holland Park,Pimlico,8897
2022-04-02,English Coasts - Fairlight Glen & Hastings (13 miles),91.0,284819469,Free,gpx\01\6921604379.gpx,Battle,Hastings,24919
2022-03-26,A Henley Regatta (17 miles),98.0,284552638,Free,gpx\01\6887262254.gpx,Henley-on-Thames,Henley-on-Thames,27298
2022-03-12,Queen Down & deneholes (12.5 or 14 miles),78.0,284298318,Free,gpx\01\6813391396.gpx,Rainham (Kent),Rainham (Kent),19824
2022-03-05,Mariners Hill & the sinews of peace (12 miles),86.0,284056614,Free,gpx\01\6777545680.gpx,Hurst Green,Hurst Green,20985
2022-02-26,Wallasea Island (16 miles),130.0,283853454,Free,gpx\01\6742161032.gpx,Rochford,Rochford,29524
2022-02-20,Hackhurst Downs (12 or 16 miles),40.0,283768415,Free,gpx\02\6712520046-snipped.gpx,Horsley,Clandon,16987
2022-02-12,Ashdown Forest (14 miles) - Pooh Bear's wood,108.0,283546205,Free,gpx\01\6672821338.gpx,Ashurst (Kent),Buxted,24272
2022-02-05,Eynsford - the Emperor's vista (9 or 14 miles),121.0,283429760,Free,gpx\01\6636420935.gpx,Eynsford,Swanley,24289
2022-01-22,871 AD (the sequel) Farleigh Hill & Old Basing (15 miles),83.0,283176821,Free,gpx\01\6564511044.gpx,Basingstoke,Basingstoke,26390
2022-01-02,Cholesbury in the Chilterns (14 miles),81.0,282884757,Free,gpx\03\02-01-2022.gpx,Chesham,Chesham,22203
2021-12-27,Barrow Hill (16 miles),22.0,282810136,Free,gpx\03\27-12-2021.gpx,Bishops Stortford,Roydon,22230
2021-12-18,Verulanium Saturnalia with Festive Market & Carols (16 or 11 miles),50.0,282454101,Free,gpx\09\Morning_Walk_time-corrected.gpx,Welwyn North,Hatfield (Herts),30750
2021-12-04,Danelaw's Border Part 2 - Over the Green Sands (14 miles),56.0,282109257,Free,gpx\01\6343012087.gpx,Flitwick,Bedford,26911
2021-11-27,"Dark Forest, Gothic Abbey (14 miles)",70.0,282021247,Free,gpx\01\6313898394.gpx,Farnham,Farnham,21266
2021-11-20,"Selsfield Common, a Wealden hill (15 miles)",43.0,281849783,Free,gpx\01\6284289808.gpx,Balcombe,Three Bridges,22494
2021-11-13,Danelaw's Border (15 miles) - Sharpenhoe Clappers,80.0,281735303,Free,gpx\01\6252921379.gpx,Leagrave,Flitwick,21789
2021-11-06,End of the Anarchy - A walk to Wallingford via Lowbury Hill (14 miles),42.0,281637939,Free,gpx\01\6225984331.gpx,Goring & Streatley,Cholsey,26698
2021-10-30,Autumn Colours & Happy Autumn-fields (15 miles),76.0,281485163,Free,gpx\01\6188344235.gpx,Epping,Epping,26163
2021-10-23,The Highest Rocks (15 miles) - Tonbridge to Tunbridge Wells,80.0,281366244,Free,gpx\09\Tonbridge_to_Tunbridge_Wells_time-corrected.gpx,Tonbridge,Tunbridge Wells,25090
2021-10-16,Leith Hill the Far Side (+ optional Box Hill sunset) (11.5 or 14 miles),57.0,281298836,Free,gpx\09\Halcombe_go_Dorking_time-corrected.gpx,Holmwood,Dorking,17525
2021-10-09,Arkesden Alps :) (14 miles),68.0,281012547,Free,gpx\01\6088271416.gpx,Audley End,Audley End,22187
2021-09-25,Gover Hill (15 miles) - Borough Green to Tonbridge,56.0,280801742,Free,gpx\09\Borough_Green_Tonbridge_time-corrected.gpx,Borough Green & Wrotham,Tonbridge,23723
2021-09-18,Over the South Downs: St Roche's Hill & Heyshott Down (16 miles),40.0,280573635,Free,gpx\01\5981850161.gpx,Chichester,Midhurst,19788
2021-09-04,Athelstan's Crown - Box Hill to River Thames (17 miles),57.0,280336387,Free,gpx\09\Box_Hill_Kingston_time-corrected.gpx,Box Hill & Westhumble,Kingston,30336
2021-08-14,An Odyssey Begins: Over the Downs to an Ancient Threshold (16 or 11 miles),50.0,279840995,Free,gpx\04\Gravesend_Sole_Street_Borough_Green__time-corrected-snipped.gpx,Gravesend,Borough Green & Wrotham,24993
2021-08-07,A walk to the sea - Sales Point & St Peter's Chapel (17 miles),68.0,279697909,Free,gpx\01\5754909900.gpx,Southminster,Southminster,24599
2021-07-10,Beachy Head 1690 (13 miles),30.0,279019579,Free,gpx\01\5606080020.gpx,Polegate,Eastbourne,22681
2021-07-03,White Hill the Lavender Way (14 miles),30.0,278975944,Free,gpx\01\5569089899.gpx,Chelsfield,Knockholt,20246
2021-06-26,Holly Hill,30.0,278838508,Free,gpx\01\5533020707.gpx,Sole Street,Sole Street,17621
2021-06-19,A Walk to the Sea (15 or 17 miles) - Hassocks to Brighton,30.0,278569353,Free,gpx\01\5496456157.gpx,Hassocks,Brighton,27832
2021-06-05,"""Well we would, wouldn't we"" - Cliveden & Cookham walk (14 miles)",30.0,278297706,Free,gpx\01\5418342333.gpx,High Wycombe,Beaconsfield,23799
2021-05-22,"Journey to the Castle Inn, St Albans (12 miles)",30.0,278167281,Free,gpx\01\5339955596.gpx,Harpenden,St Albans Abbey,20978
2020-07-26,Over the North Downs to Oxted (12 miles) Vanguard Way,30.0,272128450,Free,gpx\07\VGW1 - 26Jul20.gpx,East Croydon,Oxted,20026
2020-10-17,Assandun - between Danes' woods & the sea (14 miles/Moderate),28.0,273864389,Met,gpx\01\4206873964.gpx,Hockley,Hockley,21157
2020-10-24,Berwick to Newhaven and a Seven Sister (16 miles/Moderate),29.0,274020998,Met,gpx\01\4237841161.gpx,Berwick (Sussex),Newhaven Harbour,25148
2020-10-31,Autumn colours of West Berkshire (16 miles/Moderate),28.0,274172756,Met,gpx\01\4267637858.gpx,Aldermaston,Midgham,27368
2020-12-05,Box Hill from Zone 6 (14 miles/Moderate),29.0,274889161,Met,gpx\01\4433423376.gpx,Tadworth,Tadworth,20353
2020-12-12,High Woods (14 miles/Moderate),27.0,275029663,Met,gpx\01\4463273868.gpx,Ingatestone,Ingatestone,23943
2021-04-03,Leith Hill - the highest point (16 miles/Moderate),30.0,277219098,Met,gpx\01\5062313204.gpx,Box Hill & Westhumble,Dorking,23347
2021-04-10,Secret Stones (15 miles/Moderate),29.0,277363934,Met,gpx\09\secret_stones_time-corrected.gpx,Balcombe,Balcombe,23526
2021-04-17,Along the Pilgrims Way (14 miles/Moderate),29.0,277510905,Met,gpx\01\5143404520new.gpx,Otford,West Malling,23750
2021-04-24,Priory Fair - Epping to Roydon (15 miles/Moderate),29.0,277652818,Met,gpx\01\5184808294new.gpx,Epping,Roydon,26497
2021-05-01,Rackham Hill & the Sea (16 miles/Moderate),29.0,277794096,Met,gpx\01\5224951944.gpx,Barnham,Littlehampton,23427
2021-05-15,Hever Castle - In search of Anne Boleyn (15 miles/Moderate),29.0,278106098,Met,gpx\01\5302359947.gpx,Hildenborough,Hildenborough,28151
2024-03-16,Leith Hill - the highest point - 16 miles,95.0,299649947,Free,gpx\01\10973296345.gpx,Box Hill & Westhumble,Dorking,23342
2024-04-06,Am Meer - By the Sea (15 miles),141.0,299952426,Free,gpx\07\Rochford Circular Via Beagle Point.gpx,Rochford,Rochford,24357
2024-04-13,Tiptoe to the Tulips - 13 miles,144.0,300186311,Free,gpx\07\Three Bridges 13th Apr.gpx,Three Bridges,Three Bridges,20890
2024-04-20,Caedwalla's Bluebells Quest (16.5 miles) ,135.0,300371735,Free,gpx\07\Farnham_to_Guildford.gpx,Farnham,Guildford,24393
2024-04-28,Bayford Bluebells (7 or 14 miles),71.0,300458320,Free,gpx\07\Bayford-Hertford North.gpx,Bayford,Hertford North,24334
2024-05-04,Bluebell railway side (13 miles)  ,127.0,300568779,Free,gpx\01\Chelsfield-Knockholt_time-corrected.gpx,Chelsfield,Knockholt,18410
2024-05-11,A Walk to the Sea (15 or 17 miles) - Hassocks to Brighton,154.0,300639385,Free,gpx\01\Hassocks_to_Brighton_time-corrected.gpx,Hassocks,Brighton,27932
2024-05-25,Windsor Flowers & Leptis Magna (15 miles) ,203.0,300849829,Free,gpx\05\Windsor_Virginia_Water_plantations_circular_time-corrected.gpx,Windsor & Eton Central,Windsor & Eton Riverside,23781
2024-06-01,Anne Boleyn's come hither & the Chiding Stone (12 miles) ,155.0,301082925,Free,gpx\04\Cowden_to_Edenbridge_time-corrected.gpx,Cowden,Edenbridge Town,17523
2024-06-08,Hascombe Hill - because it's there (15 miles) ,110.0,301259002,Free,gpx\10\Godalming_circular_time-corrected.gpx,Godalming,Godalming,23076
2024-06-15,Flagstaff Point & Falling Sands - (15 miles) ,104.0,301405950,Free,gpx\05\Eastbourne_William_Charles_Campbell_monument_circular_time-corrected.gpx,Eastbourne,Eastbourne,23194
2024-06-23,Strawberries at the Farm  (15 miles),149.0,301546787,Free,gpx\10\Strawberries_time-corrected.gpx,Sawbridgeworth,Sawbridgeworth,27331
2024-06-29,South Downs - Bramber & its Castle (12 or 17 miles) ,97.0,301581053,Free,gpx\08\track_20240629_103615_time-corrected.gpx,Hassocks,Shoreham-by-Sea (Sussex),26890
2024-07-06,Deacon Hill the Cheese & Cider Way (16 miles),67.0,301883240,Free,gpx\05\Hitchin_Deacon_Hill_circular_time-corrected.gpx,Hitchin,Hitchin,23921
2024-07-13,John Dee's Seeing Deer (17 miles) ,91.0,301961980,Free,gpx\05\Oxshott_Mortlake_time-corrected.gpx,Oxshott,Mortlake,25300
2024-07-20,Seven Oaks the Lavender Way (14 miles) ,164.0,302045080,Free,gpx\10\Eynsford_to_Sevenoaks_time-corrected.gpx,Eynsford,Sevenoaks,20271
2024-07-27,Iron Age hit the beach - (15 miles) ,97.0,302297381,Free,gpx\01\Worthing_to_worthing_time-corrected.gpx,Worthing,Worthing,24275
2024-08-03,"Would I were, in Grantchester (14 miles)",88.0,302373676,Free,gpx\01\Meldreth_to_Cambridge_time-corrected.gpx,Meldreth,Cambridge,25852
2024-08-10,Northey Island - Byrhtnoth's seaside trip (17 miles),69.0,302428580,Free,gpx\01\Althorne_to_North_Fambridge_time-corrected.gpx,Althorne,North Fambridge,29180
2024-08-17,Whitstable Street is a Beach - (13 miles) ,132.0,302688300,Free,gpx\07\Faversham_to_Whitstable_time-corrected_manually_extended.gpx,Faversham,Whitstable,20843
2024-08-25,Rustic Rocks (14 miles) ,105.0,302736348,Free,gpx\07\Tunbridge_Wells_circular.gpx,Tunbridge Wells,Tunbridge Wells,23044
2024-09-01,Best not pluck a Rose (10 or 15 miles) ,92.0,302940231,Free,gpx\07\Woking_to_West_Byfleet.gpx,Woking,West Byfleet,18633
2024-09-07,Sunflower Harvest (14 miles) ,143.0,303188748,Free,gpx\07\Henley_Circular_time-corrected.gpx,Henley-on-Thames,Henley-on-Thames,24763
2024-09-14,The Hungry Deer Hike (14 miles),153.0,303242009,Free,gpx\07\Hungry_Deer_Hike_Shenfield__time-corrected.gpx,Shenfield,Shenfield,23895
2024-09-21,Harbour Heights - Brighton to Newhaven (16 miles) ,106.0,303356471,Free,gpx\01\Brighton_to_Newhaven_time-corrected.gpx,Brighton,Newhaven Harbour,24052
2024-09-28,William the Conqueror's Beachy Head bash - (12 or 13 miles) ,104.0,303452545,Free,gpx\07\Eastbourne_circular.gpx,Eastbourne,Eastbourne,18206
2024-10-05,Monte Pisano - Pisa & Florence ,8.0,303283186,Free,gpx\07\Cascina_to_Calci.gpx,Cascina,Calci,22464
2024-10-06,Little Italy & Little Venice (6 miles),137.0,303506196,Free,gpx\07\Little Italy_time-corrected.gpx,London Liverpool Street,Baker Street,7860
2024-10-12,Castle on the Water (12 miles) ,165.0,303625126,Free,gpx\07\Robertsbridge_Circular_time-corrected.gpx,Robertsbridge,Robertsbridge,16444
2024-10-19,King John's maple canter (14 miles) ,111.0,303921210,Free,gpx\07\Staines_to_Windsor-snipped.gpx,Staines,Windsor & Eton Riverside,21579
